startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus
65364041e4b01077699ceffb,FULARK INTERNATIONAL LLP,DIPP150172,RECOGNISED,ACD-4948,Validation,Nagpur,Maharashtra,Agriculture,Agri-Tech,,,,,OK
652fb912e4b0af4b35d96fe9,MARKSMAN MANPOWER SERVICES PRIVATE LIMITED,DIPP149783,RECOGNISED,U80100MH2023PTC410735,Validation,Nagpur,Maharashtra,Security Solutions,Others,,,,,OK
652d4a8ce4b0af4b35d8e75a,NOOPH TECHNOLOGIES PRIVATE LIMITED,DIPP149525,RECOGNISED,U62099MH2023PTC412052,Prototype,Nagpur,Maharashtra,IT Services,IT Consulting,,,,,OK
652a29fbe4b0af4b35d84981,DIYOO AGRO FARMS INDIA PRIVATE LIMITED,DIPP149255,RECOGNISED,U01611MH2023PTC409826,Prototype,Nagpur,Maharashtra,Agriculture,Agri-Tech,https://diyooagro.com/,,,,OK
6523f622e4b0a788fc715bb3,INNVOMINDZZ INDIA LLP,DIPP148870,RECOGNISED,ACC-8133,Prototype,Nagpur,Maharashtra,Education,Skill Development,,,,,OK
65214938e4b0a788fc70faae,DIGI MAVENS LLP,DIPP151585,RECOGNISED,ACD-2355,EarlyTraction,Nagpur,Maharashtra,IT Services,IT Consulting,www.digimavens.in,,,,OK
651fb4f8e4b04a801578b6be,QURIT PHARMACEUTICAL PRIVATE LIMITED,DIPP148446,RECOGNISED,U46497PN2023PTC223692,Prototype,Nagpur,Maharashtra,Marketing,Sales,,,,,OK
651d0f0be4b023326373ca4e,BIZFIX BUSINESS SOLUTION PRIVATE LIMITED,DIPP149451,RECOGNISED,U74999MH2022PTC385744,Validation,Nagpur,Maharashtra,Human Resources,Others,,,,,OK
651cf184e4b023326373bde5,CARDEN APPLIANCES PRIVATE LIMITED,DIPP148045,RECOGNISED,U32109PN2021PTC207107,Validation,Nagpur,Maharashtra,Technology Hardware,Electronics,,,,,OK
651a72d9e4b0233263735a72,BENVIRA FORWARD ALGORITHMS PRIVATE LIMITED,DIPP147840,RECOGNISED,U72900MH2022PTC381966,EarlyTraction,Nagpur,Maharashtra,AI,Machine Learning,www.benvira.com,,,,OK
651a6772e4b0233263735811,VP ECO TRADE LLP,DIPP147830,RECOGNISED,AAY-0414,Prototype,Nagpur,Maharashtra,Renewable Energy,Manufacture of Machinery and Equipment,https://vpecotrade.com/,,,,OK
65182b8be4b0233263732742,GUARDINGER ADVANCED TECHNOLOGIES PRIVATELIMITED,DIPP148223,RECOGNISED,U62020MH2023PTC410650,Prototype,Nagpur,Maharashtra,Aeronautics Aerospace & Defence,Defence Equipment,www.guardinger.in,,,,OK
65152b43e4b023326372a299,ANNACHTRA INTERNATIONAL ORGANISATION LLP,DIPP155712,RECOGNISED,AAU-4590,Prototype,Nagpur,Maharashtra,Agriculture,Food Processing,,,,,OK
65152610e4b023326372a0a6,HBTCREATIONS PRIVATE LIMITED,DIPP149909,RECOGNISED,U72900MH2021PTC372761,Prototype,Nagpur,Maharashtra,IT Services,IT Consulting,,,,,OK
6513f330e4b0304aab01aac6,LOTUS GUARDS AND ALLIED SERVICES (OPC) PRIVATE LIMITED,DIPP147600,RECOGNISED,U80100MH2023OPC401711,Validation,Nagpur,Maharashtra,Security Solutions,Others,,,,,OK
650eeabae4b0b4db2d729db2,ENERGENEX BIO FUELS PRIVATE LIMITED,DIPP147125,RECOGNISED,U25121MH2023PTC405368,Prototype,Nagpur,Maharashtra,Renewable Energy,Renewable Energy Solutions,,,,,OK
650c4b36e4b0b4db2d721a0c,THAVISHA PROJECTS (OPC) PRIVATE LIMITED,DIPP147263,RECOGNISED,U45309MH2022OPC381851,EarlyTraction,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK
650c1bb4e4b0b4db2d71da20,VIDRAM VENTURES PRIVATE LIMITED,DIPP146945,RECOGNISED,U25999MH2023PTC410858,Validation,Nagpur,Maharashtra,Construction,Construction & Engineering,,,,,OK
650c0ae2e4b0b4db2d71d410,HIXAA TECHNOLOGIES PRIVATE LIMITED,DIPP146933,RECOGNISED,U72200MH2021PTC365175,EarlyTraction,Nagpur,Maharashtra,Internet of Things,Others,www.hixaa.com,,,,OK
65097d2fe4b055d0eb7b33c2,RUMINET TECHNOLOGIES PRIVATE LIMITED,DIPP146677,RECOGNISED,U62099MH2023PTC402752,Validation,Nagpur,Maharashtra,Architecture Interior Design,Others,,,,,OK
6504156ee4b038ca5054bbc5,ALCSAVIOUR TECHNOLOGIES PRIVATE LIMITED,DIPP146279,RECOGNISED,U27900MH2023PTC398156,Validation,Nagpur,Maharashtra,Technology Hardware,Others,,,,,OK
6502c31ee4b038ca505474c4,PUSHPANCHAL FOUNDATION,DIPP151050,RECOGNISED,,Validation,Nagpur,Maharashtra,Education,Skill Development,,,,,OK
65018e4ee4b038ca50544260,GOSPHEL SHIELD LIFE SCIENCES PRIVATE LIMITED,DIPP146133,RECOGNISED,U21001MH2023PTC398184,Validation,Nagpur,Maharashtra,Healthcare & Lifesciences,Pharmaceutical,https://gosphel.com/,,,,OK
64fc2e4ee4b05092173b9f0b,BRAMHANEE FURNITURE,DIPP144749,RECOGNISED,NG000007746,Validation,Nagpur,Maharashtra,Construction,Homebuilding,,,,,OK
64f9ac59e4b00b8c0d993239,FRANCINA & FRANCIS CONSULTING (OPC) PRIVATE LIMITED,DIPP145384,RECOGNISED,U72900MH2021OPC370333,Prototype,Nagpur,Maharashtra,Enterprise Software,Others,,,,,OK
64f972d0e4b00b8c0d991fa6,PRATIKSHAM SOFTWARES PRIVATE LIMITED,DIPP145335,RECOGNISED,U72900MH2017PTC289516,Scaling,Nagpur,Maharashtra,IT Services,Application Development,,,,,OK
64f844d0e4b00b8c0d98ee0f,RAPIDBULL FINSERVE SOLUTIONS PRIVATE LIMITED,DIPP146486,RECOGNISED,U66190PN2023PTC223406,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Services,https://bankloanbazaar.in/,,,,OK
64f5c951e4b02bcc4a00dc21,APTEC LEARNINGS PRIVATE LIMITED,DIPP145094,RECOGNISED,U85499MH2023PTC409417,Prototype,Nagpur,Maharashtra,Education,Others,www.mindmentors.in,,,,OK
64f4a208e4b0c7662b3aa97e,NILVIL VENTURES PRIVATE LIMITED,DIPP144719,RECOGNISED,U82990MH2023PTC405669,Prototype,Nagpur,Maharashtra,Food & Beverages,Others,,,,,OK
64f1c286e4b0c7662b3a2c49,TECHNOIS MEDIA MARKETING PRIVATE LIMITED,DIPP144571,RECOGNISED,U22219MH2022PTC377760,Validation,Nagpur,Maharashtra,Media & Entertainment,Social Media,https://nois-tech.com/,,,,OK
64f1b0e6e4b0c7662b3a265d,ARYAWARTA MANPOWER CONSULTANCY (OPC) PRIVATE LIMITED,DIPP144560,RECOGNISED,U78100MH2023OPC402851,EarlyTraction,Nagpur,Maharashtra,Human Resources,Talent Management,,,,,OK
64f086ffe4b0c7662b39e80d,ORGOSYNTH CHEMICALS PRIVATE LIMITED,DIPP144508,RECOGNISED,U24100MH2020PTC335657,Validation,Nagpur,Maharashtra,Chemicals,Specialty Chemicals,,,,,OK
64ec2c94e4b094770c70937f,SHUBH ARAMB TEA PRODUCTS PRIVATE LIMITED,DIPP144019,RECOGNISED,U46306MH2023PTC405624,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,,,,,OK
64ec22a2e4b094770c709088,BEST TAX INFO PRIVATE LIMITED,DIPP144016,RECOGNISED,U74999PN2021PTC202957,Prototype,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Services,,,,,OK
64e35a21e4b07d1e25b23c33,BCS ENGINEERING (OPC) PRIVATE LIMITED,DIPP143407,RECOGNISED,U28110MH2023OPC404246,Prototype,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Supplies,,,,,OK
64e1a330e4b07d1e25b1d600,SPANTRONIX INDIA PRIVATE LIMITED,DIPP157740,RECOGNISED,U27900MH2023PTC407934,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Services,,,,,OK
64df1f04e4b07d1e25b1735a,CYPHY TECH SECURITY PRIVATE LIMITED,DIPP144372,RECOGNISED,U80200MH2023PTC399729,Scaling,Nagpur,Maharashtra,Security Solutions,Cyber Security,,,,,OK
64ddc7e3e4b0f4b8e269cba6,MSG SECURITY AND HOUSEKEEPING SERVICES PRIVATE LIMITED,DIPP143081,RECOGNISED,U93097MH2016PTC283113,Validation,Nagpur,Maharashtra,Human Resources,Recruitment Jobs,https://www.msgservices.in/,,,,OK
