startupId,startupName,searchEngine,searchQuery,candidateURL,candidateDomain,candidateTitle,candidateType,score,scoreStatus,searchStatus,manualDecision,notes
6a6b4c0de4b01a12d3b01328,COFFEE PROJECT PRIVATE LIMITED,Google,"""COFFEE PROJECT PRIVATE LIMITED"" Nagpur official website","https://www.zaubacorp.com/company-by-address/BLOCK-NO--7--MANGALWARI-COMPLEX-SADAR-----NAGPUR--MAHARASHTRA--INDIA---440001#:~:text=Previous&text=Regulatory%20%26%20Government,Copyright%20%C2%A9%202026%20Zauba%20Corp.",zaubacorp.com,Read more,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.justdial.com/Mumbai/I-R-Enterprises-near-shankara-colony-Mankhurd/022PXX22-XX22-170323192606-D2J2_BZDET,justdial.com,,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.instagram.com/p/DX53_mnjwTr/,instagram.com,,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.justdial.com/Nagpur/Cooler-Kit-Manufacturers/nct-10136799,justdial.com,Top Cooler Kit Manufacturers in Nagpur near me Justdial https://www.justdial.com › ... › 7+ Listings,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website","https://www.justdial.com/Nagpur/Cooler-Kit-Manufacturers/nct-10136799#:~:text=8%20Yrs%20in%20Business,Call%20Now",justdial.com,Read more,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.justdial.com/Jabalpur/I-R-Enterprises-Near-Bhura-Jewller-Gorakhpur/9999PX761-X761-150320184527-G8X1_BZDET,justdial.com,IR Enterprises - CCTV Installation Services In Jabalpur Justdial https://www.justdial.com › Jabalpur › I-R-Enterprises-Ne...,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://in.linkedin.com/in/er-abdur-rahman-9ba185182,in.linkedin.com,Er Abdur Rahman - Civil Engineer | Project Execution LinkedIn · Er Abdur Rahman 160+ followers,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website","https://in.linkedin.com/in/er-abdur-rahman-9ba185182#:~:text=Site%20Engineer,2%20years%203%20months",in.linkedin.com,Read more,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website","https://www.instagram.com/p/DX53_mnjwTr/#:~:text=%F0%9F%93%8D%20Nagpur%2C%20Maharashtra,wholesale%20rates%20%26%20business%20enquiries.&text=T%26T%20a%20unit%20of%20IR,ENTERPRISES%20Trusted%20Quality.%20Better%20Performance.",instagram.com,Read more,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.facebook.com/skylarkbattery/videos/%E0%A4%85%E0%A4%AC-%E0%A4%B9%E0%A4%B0-%E0%A4%97%E0%A4%BE%E0%A4%82%E0%A4%B5-%E0%A4%94%E0%A4%B0-%E0%A4%98%E0%A4%B0-%E0%A4%B9%E0%A5%8B%E0%A4%97%E0%A4%BE-%E0%A4%B0%E0%A5%8B%E0%A4%B6%E0%A4%A8-skylark-%E0%A4%95%E0%A5%87-%E0%A4%B8%E0%A4%BE%E0%A4%A5-%E0%A4%AA%E0%A4%BE%E0%A4%87%E0%A4%8F-%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3-%E0%A4%B8%E0%A5%8C%E0%A4%B0-%E0%A4%B8%E0%A4%AE%E0%A4%BE%E0%A4%A7%E0%A4%BE%E0%A4%A8-%E0%A4%94%E0%A4%B0-%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8-%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%87%E0%A4%8F/1070160983513588/,facebook.com,अब हर गांव और घर होगा रोशन Skylark के साथ। पाइए सम्पूर्ण सौर ... Facebook · Skylark Battery 30+ reactions · 5 years ago,DIRECTORY,0,DIRECTORY,SUCCESS,,
