startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,scrapedEmail,scrapedPhone,scrapedLinkedIn,pagesChecked,scrapeStatus,scrapeError,cleanedEmail,cleanedPhone,cleanedLinkedIn,errorType
62ec999be4b02524d81908d4,NENIPRRA PRIVATE LIMITED,DIPP109215,RECOGNISED,U15490MH2022PTC385190,Prototype,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://neniprra.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://neniprra.com/
Call log:
  - navigating to ""https://neniprra.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62db8687e4b05e317519ac42,Sonexa Innovations Private Limited,DIPP106460,RECOGNISED,U29308MH2022PTC386863,EarlyTraction,Nagpur,Maharashtra,Green Technology,Clean Tech,https://www.galon.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.galon.in/
Call log:
  - navigating to ""https://www.galon.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62d82404e4b0840fb6bd6c9c,YUVATRENZ MARKETING PRIVATE LIMITED,DIPP139730,RECOGNISED,U18109MH2021PTC371708,EarlyTraction,Nagpur,Maharashtra,Textiles & Apparel,Apparel & Accessories,https://yuvatm.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://yuvatm.com/
Call log:
  - navigating to ""https://yuvatm.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62cc50cbe4b0d06e97b36e7a,Vidharbha Agro Engineering Solutions Private Limited,DIPP106918,RECOGNISED,U29100MH2021PTC354190,Validation,Nagpur,Maharashtra,Agriculture,Others,https://www.yantrashakti.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.yantrashakti.in/
Call log:
  - navigating to ""https://www.yantrashakti.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62c5c992e4b07b2cdee43e65,VARDHISHNU AGROPRODUCTS PRIVATE LIMITED,DIPP105166,RECOGNISED,U01110MH2022PTC375720,Validation,Nagpur,Maharashtra,Agriculture,Agri-Tech,https://Vardhishnuagro.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://vardhishnuagro.in/
Call log:
  - navigating to ""https://vardhishnuagro.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62c4137de4b07b2cdee35553,AMA VENTURES LLP,DIPP108737,RECOGNISED,ABB-4907,Prototype,Nagpur,Maharashtra,Automotive,Electric Vehicles,https://lightningz.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://lightningz.in/
Call log:
  - navigating to ""https://lightningz.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62bff0d3e4b07b2cdee09942,Yorever Technovations Private Limited,DIPP121297,RECOGNISED,U52100MH2022PTC385874,Validation,Nagpur,Maharashtra,Chemicals,Others,https://yorever.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://yorever.com/
Call log:
  - navigating to ""https://yorever.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62a30160e4b0520246bf7176,Flying Hippo Media Private Limited,DIPP116371,RECOGNISED,U74999MH2020PTC344338,EarlyTraction,Nagpur,Maharashtra,Advertising,Others,https://www.flyinghippomedia.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.flyinghippomedia.com/
Call log:
  - navigating to ""https://www.flyinghippomedia.com/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
62909a84e4b028cbac15e8c3,JIVTODE E-RETAIL TRADE (OPC) PRIVATE LIMITED,DIPP102563,RECOGNISED,U51909MH2021OPC356676,Prototype,Nagpur,Maharashtra,Retail,Retail Technology,https://www.buyosooth.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.buyosooth.in/
Call log:
  - navigating to ""https://www.buyosooth.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
628f3a3fe4b028cbac156050,SAFFONA HEALTHCARE PRIVATE LIMITED,DIPP124549,RECOGNISED,U85100MH2022PTC379535,Validation,Nagpur,Maharashtra,Healthcare & Lifesciences,Healthcare Services,http://www.saffonaphysiotherapy.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.saffonaphysiotherapy.in/
Call log:
  - navigating to ""http://www.saffonaphysiotherapy.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
628483f5e4b028cbac11df7e,MIG-24 HEALTHCARE PRIVATE LIMITED,DIPP101532,RECOGNISED,U85300MH2021PTC374232,Validation,Nagpur,Maharashtra,Healthcare & Lifesciences,Health & Wellness,https://mig-24healthcare.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://mig-24healthcare.com/
Call log:
  - navigating to ""https://mig-24healthcare.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62737db8e4b028cbac0c515f,KAYA LAWATRE IMPEX PRIVATE LIMITED,DIPP100715,RECOGNISED,U51909MH2021PTC360569,EarlyTraction,Nagpur,Maharashtra,Indic Language Startups,E-Commerce,https://www.kayastore.co.in/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.kayastore.co.in/
Call log:
  - navigating to ""https://www.kayastore.co.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
