startupId,startupName,originalWebsite,methodUsed,verifiedWebsite,emails,phones,linkedin,status,errorType,httpStatus,finalURL,attempts,notes
66b86c7ee4b0c2c2d5d2a8c7,IYIYK TOY SOLUTIONS PRIVATE LIMITED,https://www.iyiyktoys.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66b1fa14e4b0ec4eca35f325,TRIRIK TECHNOLOGY (OPC) PRIVATE LIMITED,https://www.tririktechnology.com/,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66a8e24ce4b07936b471b5e9,KOYABIZZ VENTURES PRIVATE LIMITED,https://www.koyabizz.in,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66a87f92e4b07936b4717cbd,NANAK CONSTRUCTION,https://N/A,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66a4c0b2e4b07936b470ea80,HERHUES ADORNMENT LLP,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66a33cc1e4b07936b4709965,ICAD PUBLICATIONS PRIVATE LIMITED,https://ICAD PUBLICATIONS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669e432ee4b07936b46f7444,CENTREXCEL BUSINESS SOLUTIONS PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669e3adae4b07936b46f6db7,MAHAKAL TRADEHUB PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669a3deae4b07936b46e64ba,NAG INFOTECHNOLOGIES PRIVATE LIMITED,https://NAG INFOTECHNOLOGIES PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669683cae4b07936b46d3504,PN POLYALLOY & METAL FINISHER (OPC) PRIVATE LIMITED,https://PN POLYALLOY &amp; METAL FINISHER (OPC) PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669606bce4b07936b46ce841,GEN XCELERATE EVENTS LLP,https://www.outoftheboxexpo.in,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66935acee4b01cb6e0d00499,STHAYI INNOLUTIONS LLP,https://www.sthayi.in(not yet deployed),Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
669256d9e4b01cb6e0cfe8c7,GOLSTAR INDUSTRIES PRIVATE LIMITED,https://GOLSTAR INDUSTRIES PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
668d538ae4b014c9a9a20575,ANAGHA-AJINKYA INDUSTRIES PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
